s,C,mol/mol
Time,"TC_Center","CO_Center"
 1.5555890E+002, 1.9173591E+002, 2.2419063E-004
 1.5592508E+002, 1.9445647E+002, 1.7440966E-004
 1.5624001E+002, 1.9291374E+002, 1.3698205E-004
 1.5664281E+002, 1.8889976E+002, 1.1970931E-004
 1.5698898E+002, 1.8397234E+002, 1.1226201E-004
 1.5735049E+002, 1.7895233E+002, 1.0802059E-004
 1.5774935E+002, 1.7326610E+002, 1.0452791E-004
 1.5806200E+002, 1.6806232E+002, 1.0159549E-004
 1.5842234E+002, 1.6358398E+002, 9.9046733E-005
 1.5878268E+002, 1.5912977E+002, 9.5664732E-005
 1.5917185E+002, 1.5495548E+002, 9.2196568E-005
 1.5949688E+002, 1.5145382E+002, 8.9694545E-005
 1.5984569E+002, 1.4851163E+002, 8.7130103E-005
 1.6022938E+002, 1.4561884E+002, 8.3849656E-005
 1.6056920E+002, 1.4308532E+002, 8.1787392E-005
 1.6093451E+002, 1.4091351E+002, 8.1990136E-005
 1.6130831E+002, 1.3911775E+002, 8.2699404E-005
 1.6165057E+002, 1.3773273E+002, 8.4072133E-005
 1.6206526E+002, 1.3654672E+002, 8.6008439E-005
 1.6236930E+002, 1.3563821E+002, 8.9671056E-005
 1.6275990E+002, 1.3502044E+002, 9.5500373E-005
 1.6308418E+002, 1.3476388E+002, 1.0333462E-004
 1.6348952E+002, 1.3505798E+002, 1.1225517E-004
 1.6381380E+002, 1.3586919E+002, 1.2048116E-004
 1.6420145E+002, 1.3697847E+002, 1.2440882E-004
 1.6456255E+002, 1.3792690E+002, 1.2180730E-004
 1.6494297E+002, 1.3808597E+002, 1.1355623E-004
 1.6529820E+002, 1.3737449E+002, 1.0266877E-004
 1.6566054E+002, 1.3596086E+002, 9.2290333E-005
